Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,password,course_name,SignUpDate,LastActiveDate,comment
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,lzM3nk!vpK,"5    NaN
Name: CourseName, dtype: str",2023-12-07,2024-04-27,"I think a beginner needs more than you think.
Not satisfied.
But whatever I learn thanks for that; I don't want my money back as you give your best.
Aviva is such a natural teacher and healer/healing facilitator! This was really cool opportunity to witness a practical component of this work. What a wonderful intro about tuning into and working with electromagnetic fields :) Thank you for sharing!
Muy buena la introducción para entender la base de la legislación alimentaria en Argentina, sugeriría que se ofreciera más material descargable y que también las diapositivas de presentación se pudieran descargar, cuando aparece la presentadora en la esquina inferior tapa el final de los textos.   
También sería muy bueno que se hablará de ejemplos de aplicación
"
S1001,Maria,Brown,student1@university.com,Male,18,Business,H&ClZ6YP%v,"20    NaN
Name: CourseName, dtype: str",2023-04-02,2024-05-17,"I found this course very helpful. It was full of information, well structured and Amal has a calm and engaging presentation style.
nothing information there,
"
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,!e*DuM3dlH,"35    NaN
Name: CourseName, dtype: str",2023-11-29,2024-03-28,"Very unique way of teaching. Simple but Powerful tools to use. Loved it!
グルテンフリーのポイントがよくわかり生活習慣を見直すきっかけになりました。ありがとうございました。
"
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,S5yP5MK0VI,"35    NaN
Name: CourseName, dtype: str",2023-07-07,2024-05-18,"Thanks Kate, great course and valuable information for anyone wanting to purchase software. 
Kind regards, Donna.
Finalmente un corso valido su questo argomento
"
S1004,John,Smith,student4@university.com,Female,23,CS,YgCDHWkiVD,"50    NaN
Name: CourseName, dtype: str",2023-06-12,2024-01-16,"It's a pretty good course. I've managed to create an app that can use voice recognition thanks to this tutorial. There are some smaller problems like the thing that some functions are just place in code without a particular reason, like: ""voskRecognizer.SetMaxAlternatives(0);"" or ""voskRecognizer.SetWords(true);"". Why even bother? The program runs the same in this particular use case without them. The author doesn't even explain what those functions do.
It was very nice explanation. Many Thanks for sharing this.
"
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,gGFaXpzSxR,"5    NaN
Name: CourseName, dtype: str",2023-03-01,2024-03-25,"I have watched two lesson. It is good.
Já fiz dois curso de Coach online na Pandemia, estou em processo de desenvolvimento pessoal desde 2016. E por fim fiz Pscanálise. Participei do Método CIS em casa na Pandemia. Me inscrevi nesse curso para reprogramar alguma crença que tenha restado, pois estou sempre evoluindo. Amo esse assunto. Já mudei muito com todos os processos de transformação que já passei mas ainda tenho coisas a melhorar. GRATIDÃO!!!
"
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,#9Yxwt$NBz,"20    NaN
Name: CourseName, dtype: str",2023-11-18,2024-03-15,"Should have provided workbooks or links to the resources used with the course. could have saved a lot of time for both.
Maravilhosos!
"
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,Y%@jS3YI0G,"35    NaN
Name: CourseName, dtype: str",2023-09-08,2024-01-10,"Не понятно для новичка
Excellent presentation with practical and specific examples.
"
S1008,Omar,Smith,student8@university.com,Female,21,CS,bCcsS5pa1w,"50    NaN
Name: CourseName, dtype: str",2023-03-16,2024-01-29,"小太郎シリーズ３コース受講しました。小技を知ると、スプライトの動きをいろいろ変えられて、おもしろいストーリーができることがわかってワクワクしました。
Excelente,
"
S1009,Sara,Smith,student9@university.com,Female,22,Business,KGyjs5bxBb,"20    NaN
Name: CourseName, dtype: str",2023-10-26,2024-04-12,"nice, full of information
Excelente. Recomendado a personas que no tenemos mucho idea sobre el tema.
"
S1010,John,Smith,student10@university.com,Female,23,Business,%*VnCR*ptZ,"20    NaN
Name: CourseName, dtype: str",2023-01-03,2024-06-10,"excelente , bien explicado
Forma de apresentação e aborda não prendeu atenção.
"
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,WABpx&dz#V,"5    NaN
Name: CourseName, dtype: str",2023-11-23,2024-01-26,"Great course!
I guess the Lecturer delivered well but due to no fault of his I had a hard time hearing or understanding what he was saying. i would be grateful to have a lecturer who is more audible
"
S1012,John,Davis,student12@university.com,Male,21,Engineering,$61aaCNog7,"35    NaN
Name: CourseName, dtype: str",2023-10-06,2024-01-05,"Качество на высоте и автор вплёл частицу души в свой контент
Good content delivered in a common-sense way.  Lesson 3 (Part 3 - Pitfalls to avoid) is the exact same video as Lesson 1 (Part 1 - Being CLEAR) leading to the rating I gave this course (4 stars)
"
S1013,John,Williams,student13@university.com,Male,18,Business,F8m4wSXWyy,"20    NaN
Name: CourseName, dtype: str",2023-09-12,2024-02-13,"There was very little information. I did not like it.
It’s ok
"
S1014,Liam,Williams,student14@university.com,Male,19,CS,7aDkf$bLn2,"50    NaN
Name: CourseName, dtype: str",2023-11-19,2024-03-07,"I have suffered with anxiety on and off most of my adult life. I didn't know how important learning to relax can be, to help manage anxiety and I found this course really helpful with lots of good advice and information. Thank you.
Les questions ne sont pas claires et bourrées de fautes de français
"
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,gzCIxmCLdo,"50    NaN
Name: CourseName, dtype: str",2023-08-04,2024-05-19,"Muy buen curso, lo felicito maestro, esta muy bien diseñado, talvez pueda irle agregando más material, inclusive las enfermedades que te causan los hongos, pero en escrito, de ahí en fuera, todo esta super bien con su curso, muchas gracias :)
Thank you for making Video about GEE.It is very helpful !!
"
S1016,Maria,Jones,student16@university.com,Female,21,Business,B5tkpFKPFS,"20    NaN
Name: CourseName, dtype: str",2023-03-30,2024-03-25,"I got hooked on this one after enrolling in the course titled ""How to deliver a great TEDx speech"". It gave me a lot of confidence when it comes to public speaking. This one will definitely help me book more gigs in the future. Thank you ELITEx Mentor!
Explicaciones muy didácticas y de fácil aplicación. Es un curso ameno con unos resultados impresionantes.
"
S1017,Liam,Davis,student17@university.com,Female,23,CS,DBu3OBbBbu,"50    NaN
Name: CourseName, dtype: str",2023-01-04,2024-05-18,"Explications très claires, j'ai pu installer sans problème Oracle sur mon MacBook Pro.
Está sendo ótimo, bem explicado e direto.
"
S1018,Liam,Jones,student18@university.com,Male,20,Business,rO@seFYGfw,"20    NaN
Name: CourseName, dtype: str",2023-08-02,2024-01-18,"昔懐かしい消しゴムハンコ。とっても分かりやすく作り方のコツを解説されている動画でした。出来上がった作品も、とってもほっこりする可愛いらしいもので、作ってみたくなりました。有難うございました。
I went through this 11 day journey with my sweet friend, Tiffany. Both of us learned a lot about ourselves, and each other. Ann and Shannah are genuine and fun. The content and resources are very helpful in helping me gain a deeper understanding of my Self. This course is a reflection of the effort that I put into it. Meaning, by taking a deep dive into myself, I got a lot out of the grandma and granddaughter wisdom they shared, as well as from the other resources they provided. For me, I had an overall wonderful experience. 

As for Tiffany... Ann and Shannah have created a beautiful gift for seekers that is accessible and easy to incorporate into your daily life. Each video provides food for thought and self reflection that inspires. The links to master teachers and journaling prompts provide for the possibility of further introspection and investigation. I loved learning from these two wise women for the last eleven days, and look forward to returning to this course again and again.
"
S1019,John,Johnson,student19@university.com,Male,20,CS,L85R@TcIux,"50    NaN
Name: CourseName, dtype: str",2023-10-12,2024-04-22,"Good match. Great instructor.
this is anything but not a training course  please dont wast your money
"
S1020,Emma,Davis,student20@university.com,Male,18,Business,EcyODxCbl7,"20    NaN
Name: CourseName, dtype: str",2023-02-16,2024-01-15,"It's just incredible what I could achieve by the end of this course.
great course!
"
